term_id,langs,country,term,type,code_lang
5,Afrikaans,"Cape Town,Western Cape,South Africa",Omgewing,Canonical Scientific Issues,af
6,Afrikaans,"Cape Town,Western Cape,South Africa",Ekosisteem,Canonical Scientific Issues,af
8,Afrikaans,"Cape Town,Western Cape,South Africa",Besoedeling,Canonical Scientific Issues,af
12,Afrikaans,"Cape Town,Western Cape,South Africa",Swam,Canonical Scientific Issues,af
13,Afrikaans,"Cape Town,Western Cape,South Africa",Soogdier,Canonical Scientific Issues,af
16,Afrikaans,"Cape Town,Western Cape,South Africa",Oplossing,Canonical Scientific Issues,af
20,Afrikaans,"Cape Town,Western Cape,South Africa",Atoom,Canonical Scientific Issues,af
28,Afrikaans,"Cape Town,Western Cape,South Africa",Energie,Canonical Scientific Issues,af
29,Afrikaans,"Cape Town,Western Cape,South Africa",Gewig,Canonical Scientific Issues,af
35,Afrikaans,"Cape Town,Western Cape,South Africa",Sonnestelsel,Canonical Scientific Issues,af
38,Afrikaans,"Cape Town,Western Cape,South Africa",Evolusie,Canonical Scientific Issues,af
53,Afrikaans,"Cape Town,Western Cape,South Africa",Wanvoeding,Socio-Scientific Isuues,af
54,Afrikaans,"Cape Town,Western Cape,South Africa",Voedselsekuriteit,Socio-Scientific Isuues,af
56,Afrikaans,"Cape Town,Western Cape,South Africa",Kalorie,Socio-Scientific Isuues,af
58,Afrikaans,"Cape Town,Western Cape,South Africa",Hernubare energie,Socio-Scientific Isuues,af
59,Afrikaans,"Cape Town,Western Cape,South Africa",Klimaatsverandering,Socio-Scientific Isuues,af
65,Afrikaans,"Cape Town,Western Cape,South Africa",Grondbesoedeling,Socio-Scientific Isuues,af
66,Afrikaans,"Cape Town,Western Cape,South Africa",Kweekhuisgas,Socio-Scientific Isuues,af
68,Afrikaans,"Cape Town,Western Cape,South Africa",Infeksie,Socio-Scientific Isuues,af
70,Afrikaans,"Cape Town,Western Cape,South Africa",Vloed,Socio-Scientific Isuues,af
71,Afrikaans,"Cape Town,Western Cape,South Africa",Droogte,Socio-Scientific Isuues,af
39,Afrikaans,"Cape Town,Western Cape,South Africa",PKR,Novel Science and Technology Issues,af
42,Afrikaans,"Cape Town,Western Cape,South Africa",mRNS,Novel Science and Technology Issues,af
43,Afrikaans,"Cape Town,Western Cape,South Africa",genoom,Novel Science and Technology Issues,af
44,Afrikaans,"Cape Town,Western Cape,South Africa",Mars,Novel Science and Technology Issues,af
45,Afrikaans,"Cape Town,Western Cape,South Africa",asteroïdes,Novel Science and Technology Issues,af
46,Afrikaans,"Cape Town,Western Cape,South Africa",CRISPR,Novel Science and Technology Issues,af
48,Afrikaans,"Cape Town,Western Cape,South Africa",proteïenvou,Novel Science and Technology Issues,af
49,Afrikaans,"Cape Town,Western Cape,South Africa",swartkolk,Novel Science and Technology Issues,af
52,Afrikaans,"Cape Town,Western Cape,South Africa",Mutasie,Novel Science and Technology Issues,af
87,Afrikaans,"Cape Town,Western Cape,South Africa",Outonome kar,Novel Science and Technology Issues,af
73-B,Afrikaans,"Cape Town,Western Cape,South Africa",aardverwarming 'n klug,Conspiracy Theories,af
74-B,Afrikaans,"Cape Town,Western Cape,South Africa",Klimaatsverandering 'n klug,Conspiracy Theories,af
77-B,Afrikaans,"Cape Town,Western Cape,South Africa",entstowwe outisme,Conspiracy Theories,af
79-B,Afrikaans,"Cape Town,Western Cape,South Africa",plat aarde,Conspiracy Theories,af
80-B,Afrikaans,"Cape Town,Western Cape,South Africa",Maanlaanding vals,Conspiracy Theories,af
5,Arabic,"Cairo,Cairo Governorate,Egypt",????,Canonical Scientific Issues,ar
5,Arabic,"Jerusalem District,Israel",????,Canonical Scientific Issues,ar
